Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,DateSold,YearSold,Age,Grant
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,2016-09,2.5,3067,1,1,150,73,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,17/9/2016,2016,31,FALSE
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,2017-03,2.5,3067,2,2,780,135,1900,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,18/3/2017,2016,117,FALSE
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,2017-03,2.5,3067,2,2,0,116.5,2010,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,18/3/2017,2016,7,TRUE
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,2016-06,2.5,3067,1,1,0,60,1970,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,18/6/2016,2016,46,FALSE
Abbotsford,52a William St,2,h,1100000,PI,Biggin,2016-06,2.5,3067,2,1,124,135,2013,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,18/6/2016,2016,3,TRUE
Abbotsford,49 Park St,2,h,1315000,S,Marshall,2016-11,2.5,3067,1,0,147,85,1900,Yarra City Council,-37.808,144.994,Northern Metropolitan,19/11/2016,2016,116,FALSE
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,2016-08,2.5,3067,3,1,166,174,2012,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,22/8/2016,2016,4,TRUE
Abbotsford,159 Park St,2,h,1135000,S,Nelson,2016-08,2.5,3067,2,2,98,128,1920,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,22/8/2016,2016,96,FALSE
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,2017-02,2.5,3067,1,1,168,124,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,25/2/2017,2016,67,FALSE
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,2016-07,2.5,3067,1,1,0,50,2013,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,26/7/2016,2016,3,TRUE
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,2016-11,2.5,3067,1,0,162,91,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,27/11/2016,2016,116,FALSE
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,2016-11,2.5,3067,2,1,120,128,1998,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,27/11/2016,2016,18,TRUE
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,2016-05,2.5,3067,1,0,182,82,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,28/5/2016,2016,116,FALSE
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,2016-07,2.5,3067,1,1,172,81,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,30/7/2016,2016,86,FALSE
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,2016-09,13.5,3042,2,1,303,225,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3/9/2016,2016,0,TRUE
Airport West,50 Bedford St,3,h,730000,VB,Nelson,2016-12,13.5,3042,2,1,0,145,1965,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3/12/2016,2016,51,FALSE
Airport West,50 Bedford St,3,h,770000,SP,Nelson,2017-03,13.5,3042,2,1,0,145,1965,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,4/3/2017,2016,52,FALSE
Airport West,23 Hart St,2,h,603000,S,Nelson,2017-03,13.5,3042,1,1,272,84,1950,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,4/3/2017,2016,67,FALSE
Airport West,1/80 Hawker St,3,t,700000,S,Brad,2017-03,13.5,3042,2,2,239,134,2009,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,4/3/2017,2016,8,TRUE
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,2017-03,13.5,3042,1,1,290,116,1980,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,4/3/2017,2016,37,FALSE
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,2017-03,13.5,3042,1,1,168,86,2011,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,4/3/2017,2016,6,TRUE
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,2016-05,13.5,3042,3,2,976,186,1980,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,7/5/2016,2016,36,FALSE
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,2016-05,13.5,3042,1,1,110,90,2015,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,7/5/2016,2016,1,TRUE
Airport West,3/19 Hart St,2,u,515000,S,Barry,2016-11,13.5,3042,1,1,141,73,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,7/11/2016,2016,3,TRUE
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,2016-09,13.5,3042,1,1,120,94,2012,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,10/9/2016,2016,4,TRUE
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,2016-09,13.5,3042,1,6,1063,133,1975,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,10/9/2016,2016,41,FALSE
Airport West,13 Etzel St,3,h,805000,S,Nelson,2016-12,13.5,3042,1,1,0,105,1950,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,10/12/2016,2016,66,FALSE
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,2017-02,13.5,3042,1,1,265,130,1993,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,11/2/2017,2016,24,TRUE
Airport West,2/40 Earl St,3,t,700000,PI,Brad,2016-10,13.5,3042,2,2,165,133,2009,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,15/10/2016,2016,7,TRUE
Airport West,180 Parer Rd,3,h,830000,S,Barry,2016-04,13.5,3042,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,16/4/2016,2016,56,FALSE
Airport West,4/54 Hawker St,2,u,462500,S,Barry,2016-07,13.5,3042,1,1,164,93,2003,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan,16/7/2016,2016,13,TRUE
Airport West,174 Parer Rd,2,h,675000,S,Barry,2016-07,13.5,3042,1,1,612,100,1975,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,16/7/2016,2016,41,FALSE
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,2016-07,13.5,3042,2,5,612,174,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,16/7/2016,2016,66,FALSE
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,2016-09,13.5,3042,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,17/9/2016,2016,36,FALSE
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,2017-03,13.5,3042,3,2,555,192,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,18/3/2017,2016,37,FALSE
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,2017-03,13.5,3042,2,2,422,126,1995,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,18/3/2017,2016,22,TRUE
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,2016-06,13.5,3042,2,1,161,101,2010,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,18/6/2016,2016,6,TRUE
Airport West,37 North St,3,t,825000,SP,Barry,2016-11,13.5,3042,2,1,293,102,1960,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,19/11/2016,2016,56,FALSE
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,2016-05,13.5,3042,1,1,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,22/5/2016,2016,41,FALSE
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,2016-11,13.5,3042,2,3,628,146,1975,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,27/11/2016,2016,41,FALSE
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,2016-09,3.3,3206,1,0,120,82,1900,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3/9/2016,2016,116,FALSE
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,2017-03,3.3,3206,2,0,211,198,1890,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,4/3/2017,2016,127,FALSE
Albert Park,94 Graham St,3,h,1850000,S,Greg,2017-03,3.3,3206,2,0,128,133,1890,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,4/3/2017,2016,127,FALSE
Albert Park,396 Montague St,2,h,1436000,S,RT,2017-03,3.3,3206,1,0,130,81,1900,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,4/3/2017,2016,117,FALSE
Albert Park,75 Graham St,2,h,1110000,S,Marshall,2016-08,3.3,3206,1,0,147,132,1900,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan,6/8/2016,2016,116,FALSE
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,2016-05,3.3,3206,2,1,153,180,1880,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,7/5/2016,2016,136,FALSE
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,2016-11,3.3,3206,2,1,132,159,1996,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,7/11/2016,2016,20,TRUE
Albert Park,29 Faussett St,2,h,2120000,S,Greg,2016-09,3.3,3206,1,1,199,107,1900,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,10/9/2016,2016,116,FALSE
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,2016-09,3.3,3206,2,1,90,122,1900,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,10/9/2016,2016,116,FALSE
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,2016-12,3.3,3206,2,1,177,181,1880,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,10/12/2016,2016,136,FALSE
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,2016-06,3.3,3206,2,2,0,85,2000,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,12/6/2016,2016,16,TRUE
Albert Park,65 Graham St,2,h,1322500,S,Greg,2016-10,3.3,3206,1,0,149,98,1890,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,15/10/2016,2016,126,FALSE
Albert Park,364 Montague St,2,h,1562500,S,Greg,2016-10,3.3,3206,1,0,141,83,1890,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,15/10/2016,2016,126,FALSE
Albert Park,86 Mills St,3,h,2000000,VB,RT,2016-04,3.3,3206,2,1,211,147,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,16/4/2016,2016,116,FALSE
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,2017-03,3.3,3206,1,0,209,132,1900,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan,18/3/2017,2016,117,FALSE
Albert Park,97 Page St,3,h,3010000,S,Greg,2017-03,3.3,3206,2,0,147,146,1890,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,18/3/2017,2016,127,FALSE
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,2016-06,3.3,3206,3,1,327,254,1910,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,18/6/2016,2016,106,FALSE
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,2016-04,3.3,3206,1,1,120,123,1900,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,23/4/2016,2016,116,FALSE
Albert Park,49 Page St,3,h,2000000,PI,Marshall,2016-09,3.3,3206,1,1,238,131,1890,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,24/9/2016,2016,126,FALSE
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,2017-02,3.3,3206,1,0,0,34,1970,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,25/2/2017,2016,47,FALSE
Albert Park,115 Page St,4,h,4735000,S,Marshall,2017-02,3.3,3206,2,1,330,207,1910,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,25/2/2017,2016,107,FALSE
Albert Park,27 Barrett St,4,h,2140000,S,Greg,2016-06,3.3,3206,2,1,183,145,1880,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,27/6/2016,2016,136,FALSE
Albert Park,6 Brooke St,2,h,980000,S,Greg,2016-05,3.3,3206,1,0,79,68,1890,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,28/5/2016,2016,126,FALSE
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,2016-08,3.3,3206,2,2,147,134,1890,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,28/8/2016,2016,126,FALSE
Albert Park,9 Durham St,1,h,985000,S,Marshall,2016-07,3.3,3206,1,0,81,54,1900,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,30/7/2016,2016,116,FALSE
Alphington,6 Smith St,4,h,2000000,S,Brace,2016-09,6.4,3078,2,4,853,263,1930,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,3/9/2016,2016,86,FALSE
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,2016-09,6.4,3078,2,2,208,165,2013,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,3/9/2016,2016,3,TRUE
Alphington,44 Shiers St,4,h,1717500,S,Collins,2016-10,6.4,3078,2,1,599,203,1925,Darebin City Council,-37.7717,145.031,Northern Metropolitan,8/10/2016,2016,91,FALSE
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,2016-06,6.4,3078,4,4,809,165,1910,Darebin City Council,-37.775,145.0268,Northern Metropolitan,12/6/2016,2016,106,FALSE
Alphington,3/19 Harker St,2,u,525500,S,Miles,2016-11,6.4,3078,1,1,88,60,1960,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,12/11/2016,2016,56,FALSE
Alphington,4/2 Miller St,2,t,805000,S,Miles,2016-11,6.4,3078,2,3,155,140,2004,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,12/11/2016,2016,12,TRUE
Alphington,10 Bennett St,4,h,1830000,S,Nelson,2016-11,6.4,3078,2,2,606,112,1970,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,19/11/2016,2016,46,FALSE
Alphington,38 Bennett St,4,h,2100000,S,Nelson,2016-11,6.4,3078,2,2,575,271,2008,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,19/11/2016,2016,8,TRUE
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,2016-05,6.4,3078,1,1,180,131,2010,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,22/5/2016,2016,6,TRUE
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,2016-05,6.4,3078,1,1,0,60,1960,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,22/5/2016,2016,56,FALSE
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,2017-02,6.4,3078,1,1,0,61,1965,Darebin City Council,-37.7805,145.0262,Northern Metropolitan,25/2/2017,2016,52,FALSE
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,2016-11,6.4,3078,2,2,556,272,1930,Darebin City Council,-37.7844,145.0225,Northern Metropolitan,27/11/2016,2016,86,FALSE
Alphington,42 Shiers St,4,h,1950000,S,Jellis,2016-07,6.4,3078,2,3,589,210,1920,Darebin City Council,-37.7719,145.0309,Northern Metropolitan,30/7/2016,2016,96,FALSE
Altona,158 Queen St,3,h,520000,VB,Greg,2016-09,13.8,3018,2,1,352,242,2015,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,3/9/2016,2016,1,TRUE
Altona,59 Bracken Gr,5,h,1525000,S,Greg,2016-12,13.8,3018,3,3,729,268,2005,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,3/12/2016,2016,11,TRUE
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,2016-02,13.8,3018,1,2,292,125,2013,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,4/2/2016,2016,3,TRUE
Altona,4 Blyth St,3,h,1120000,S,Barlow,2017-03,13.8,3018,1,2,506,120,1930,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,4/3/2017,2016,87,FALSE
Altona,29 Rose St,4,h,1780000,SP,Greg,2016-06,13.8,3018,3,6,1057,220,1962,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,4/6/2016,2016,54,FALSE
Altona,1/170 Blyth St,3,u,630000,S,Barlow,2016-08,13.8,3018,1,2,311,94,1955,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,6/8/2016,2016,61,FALSE
Altona,156 Maidstone St,3,h,660000,VB,Greg,2016-05,13.8,3018,1,1,602,123,1955,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,7/5/2016,2016,61,FALSE
Altona,1/136 Queen St,2,u,580000,S,Barlow,2016-10,13.8,3018,1,1,225,93,1988,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,8/10/2016,2016,28,TRUE
Altona,173 Queen St,3,h,1335000,S,hockingstuart,2016-10,13.8,3018,1,4,777,22,1953,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan,8/10/2016,2016,63,FALSE
Altona,1/265 Queen St,3,t,800000,SP,hockingstuart,2016-10,13.8,3018,2,2,280,130,1997,Hobsons Bay City Council,-37.8734,144.8143,Western Metropolitan,8/10/2016,2016,19,TRUE
Altona,3/26 Grieve Pde,2,u,510000,S,Village,2016-09,13.8,3018,1,1,127,76,1990,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan,10/9/2016,2016,26,TRUE
Altona,4/5 Rose St,2,u,425000,S,hockingstuart,2016-09,13.8,3018,1,2,115,57,1980,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,10/9/2016,2016,36,FALSE
Altona,4/31 Millers Rd,2,u,391000,SP,Greg,2017-02,13.8,3018,1,1,0,65,1965,Hobsons Bay City Council,-37.8678,144.8384,Western Metropolitan,11/2/2017,2016,52,FALSE
Altona,24 Wren St,4,h,845000,S,hockingstuart,2017-02,13.8,3018,1,2,745,130,1950,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,11/2/2017,2016,67,FALSE
Altona,4/57 Blyth St,3,u,730000,SP,Barlow,2016-08,13.8,3018,2,1,69,141,2014,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan,13/8/2016,2016,2,TRUE
Altona,164 Maidstone St,3,h,635000,S,Sweeney,2016-05,13.8,3018,1,4,625,130,1960,Hobsons Bay City Council,-37.8611,144.8114,Western Metropolitan,14/5/2016,2016,56,FALSE
Altona,3/46 Sargood St,2,u,447000,S,Burnham,2016-10,13.8,3018,1,1,137,77,1990,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan,15/10/2016,2016,26,TRUE
Altona,22 Fenfield St,3,h,678000,S,hockingstuart,2016-04,13.8,3018,1,2,606,87,1950,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,16/4/2016,2016,66,FALSE
Altona,5/8 David St,2,u,580000,PI,Biggin,2016-07,13.8,3018,2,1,175,76,2013,Hobsons Bay City Council,-37.8687,144.8268,Western Metropolitan,16/7/2016,2016,3,TRUE
Altona,27 McIntyre Dr,3,h,840000,SP,Greg,2017-03,13.8,3018,2,2,534,136,1965,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,18/3/2017,2016,52,FALSE
Altona,3/20 Mulga St,3,u,577000,S,Williams,2016-04,13.8,3018,2,1,205,113,2007,Hobsons Bay City Council,-37.8684,144.815,Western Metropolitan,23/4/2016,2016,9,TRUE
Altona,104 Maidstone St,2,h,857000,SP,hockingstuart,2016-11,13.8,3018,2,1,675,100,1950,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,27/11/2016,2016,66,FALSE
Altona,5/57 Blyth St,3,u,730000,SP,Barlow,2016-05,13.8,3018,2,1,70,3,2014,Hobsons Bay City Council,-37.868,144.8285,Western Metropolitan,28/5/2016,2016,2,TRUE
Altona,3 Curtin Ct,4,h,931000,S,Sweeney,2016-08,13.8,3018,2,3,532,130,1970,Hobsons Bay City Council,-37.8637,144.8365,Western Metropolitan,28/8/2016,2016,46,FALSE
Altona,2/60 David St,2,h,535600,SP,Compton,2016-07,13.8,3018,1,1,154,91,1996,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan,30/7/2016,2016,20,TRUE
Altona North,45 Hearn St,5,h,1085000,S,FN,2016-09,11.1,3025,3,6,592,251,1965,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,3/9/2016,2016,51,FALSE
Altona North,4 Knapp St,3,h,781000,S,Jas,2016-09,11.1,3025,1,2,533,117,1970,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,3/9/2016,2016,46,FALSE
Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,2017-03,11.1,3025,1,1,77,77,2009,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan,4/3/2017,2016,8,TRUE
Altona North,33 Carthy St,3,h,683000,S,FN,2016-06,11.1,3025,1,2,534,167,1967,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan,4/6/2016,2016,49,FALSE
Altona North,1/5 Little St,3,h,720000,VB,Greg,2016-08,11.1,3025,2,1,0,130,2012,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan,6/8/2016,2016,4,TRUE
Altona North,1/95 Mills St,3,h,588000,S,Williams,2016-05,11.1,3025,1,1,328,118,1970,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan,7/5/2016,2016,46,FALSE
Altona North,5 Binns St,3,h,710000,PI,Village,2016-11,11.1,3025,1,3,540,116,1960,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan,7/11/2016,2016,56,FALSE
Altona North,25 Allan St,4,h,875000,SP,Jas,2016-10,11.1,3025,1,4,559,169,1965,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,8/10/2016,2016,51,FALSE
Altona North,1/256 Mason St,2,t,640000,S,Williams,2017-03,11.1,3025,1,1,252,127,1965,Hobsons Bay City Council,-37.8397,144.8602,Western Metropolitan,11/3/2017,2016,52,FALSE
Altona North,2/36 May St,3,h,675000,S,hockingstuart,2016-05,11.1,3025,2,2,171,109,2012,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,14/5/2016,2016,4,TRUE
Altona North,11 Beevers St,3,h,708000,S,Greg,2016-10,11.1,3025,1,2,585,97,1960,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan,15/10/2016,2016,56,FALSE
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,2016-05,11.1,3025,2,4,315,170,2008,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,22/5/2016,2016,8,TRUE
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,2016-08,11.1,3025,2,2,276,100,2010,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,22/8/2016,2016,6,TRUE
Altona North,2 Gadsden St,3,h,728500,S,Jas,2016-08,11.1,3025,1,1,531,157,1960,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan,22/8/2016,2016,56,FALSE
Altona North,24 Hansen St,3,h,931000,S,hockingstuart,2016-08,11.1,3025,2,1,590,160,1950,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,22/8/2016,2016,66,FALSE
Altona North,4 Prismall St,3,h,988000,S,Sweeney,2016-08,11.1,3025,1,4,715,130.5,2008,Hobsons Bay City Council,-37.8423,144.8632,Western Metropolitan,22/8/2016,2016,8,TRUE
Altona North,6 Hill St,3,h,815000,S,hockingstuart,2017-02,11.1,3025,2,3,555,130,1960,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,25/2/2017,2016,57,FALSE
Altona North,5 Cresser St,4,h,1200000,SP,RT,2016-11,11.1,3025,1,4,633,158,1960,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan,27/11/2016,2016,56,FALSE
Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,2016-08,11.1,3025,1,1,153,70,1970,Hobsons Bay City Council,-37.8332,144.8649,Western Metropolitan,28/8/2016,2016,46,FALSE
Armadale,8/19 Mercer Rd,2,u,599000,S,Jellis,2016-09,6.3,3143,1,1,0,76,1964,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,3/9/2016,2016,52,FALSE
Armadale,14/71 Denbigh Rd,3,u,995000,S,Marshall,2016-12,6.3,3143,2,2,0,100,1998,Stonnington City Council,-37.8552,145.016,Southern Metropolitan,3/12/2016,2016,18,TRUE
Armadale,4/769 High St,3,t,1205000,S,Jellis,2016-12,6.3,3143,2,2,101,105,2000,Stonnington City Council,-37.854,145.0135,Southern Metropolitan,3/12/2016,2016,16,TRUE
Armadale,7 Llaneast St,3,h,1939000,S,Jellis,2016-12,6.3,3143,2,2,296,150,1889,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan,3/12/2016,2016,127,FALSE
Armadale,28 Cambridge St,3,h,1870000,S,Hodges,2017-03,6.3,3143,1,1,217,116,1888,Stonnington City Council,-37.8592,145.0182,Southern Metropolitan,4/3/2017,2016,129,FALSE
